"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"BEL","Belgium","T","Total","TOTAL","Total","2030","2030",11896866,,
"CAN","Canada","W","Women","TOTAL","Total","2021","2021",19273700,,
"CAN","Canada","W","Women","TOTAL","Total","2022","2022",19482500,,
"CAN","Canada","W","Women","TOTAL","Total","2023","2023",19691300,,
"CAN","Canada","W","Women","TOTAL","Total","2024","2024",19899900,,
"CAN","Canada","W","Women","TOTAL","Total","2025","2025",20108000,,
"CAN","Canada","W","Women","TOTAL","Total","2026","2026",20315300,,
"CAN","Canada","W","Women","TOTAL","Total","2027","2027",20521600,,
"CAN","Canada","W","Women","TOTAL","Total","2028","2028",20726600,,
"CAN","Canada","W","Women","TOTAL","Total","2029","2029",20930000,,
"CAN","Canada","W","Women","TOTAL","Total","2030","2030",21131700,,
"CAN","Canada","M","Men","TOTAL","Total","2021","2021",19010800,,
"CAN","Canada","M","Men","TOTAL","Total","2022","2022",19211800,,
"CAN","Canada","M","Men","TOTAL","Total","2023","2023",19411300,,
"CAN","Canada","M","Men","TOTAL","Total","2024","2024",19609200,,
"CAN","Canada","M","Men","TOTAL","Total","2025","2025",19805500,,
"CAN","Canada","M","Men","TOTAL","Total","2026","2026",19999900,,
"CAN","Canada","M","Men","TOTAL","Total","2027","2027",20192300,,
"CAN","Canada","M","Men","TOTAL","Total","2028","2028",20382600,,
"CAN","Canada","M","Men","TOTAL","Total","2029","2029",20570600,,
"CAN","Canada","M","Men","TOTAL","Total","2030","2030",20756400,,
"CAN","Canada","T","Total","TOTAL","Total","2021","2021",38284600,,
"CAN","Canada","T","Total","TOTAL","Total","2022","2022",38694300,,
"CAN","Canada","T","Total","TOTAL","Total","2023","2023",39102600,,
"CAN","Canada","T","Total","TOTAL","Total","2024","2024",39509100,,
"CAN","Canada","T","Total","TOTAL","Total","2025","2025",39913500,,
"CAN","Canada","T","Total","TOTAL","Total","2026","2026",40315200,,
"CAN","Canada","T","Total","TOTAL","Total","2027","2027",40713900,,
"CAN","Canada","T","Total","TOTAL","Total","2028","2028",41109200,,
"CAN","Canada","T","Total","TOTAL","Total","2029","2029",41500700,,
"CAN","Canada","T","Total","TOTAL","Total","2030","2030",41888100,,
"CZE","Czech Republic","W","Women","TOTAL","Total","2021","2021",5436740,,
"CZE","Czech Republic","W","Women","TOTAL","Total","2022","2022",5443867,,
"CZE","Czech Republic","W","Women","TOTAL","Total","2023","2023",5447620,,
"CZE","Czech Republic","W","Women","TOTAL","Total","2024","2024",5447903,,
"CZE","Czech Republic","W","Women","TOTAL","Total","2025","2025",5445920,,
"CZE","Czech Republic","W","Women","TOTAL","Total","2026","2026",5442775,,
"CZE","Czech Republic","W","Women","TOTAL","Total","2027","2027",5438419,,
"CZE","Czech Republic","W","Women","TOTAL","Total","2028","2028",5432904,,
